api_football_id,api_football_name,db_team_id,db_team_name
118,Bahia,518,Bahia
119,Internacional,514,Internacional
120,Botafogo,547,Botafogo
121,Palmeiras,515,Palmeiras
124,Fluminense,549,Fluminense
126,Sao Paulo,546,São Paulo
127,Flamengo,516,Flamengo
128,Santos,551,Santos
130,Gremio,554,Grêmio
131,Corinthians,555,Corinthians
132,Chapecoense-sc,568,Chapecoense
133,Vasco DA Gama,544,Vasco da Gama
134,Atletico Paranaense,550,Atlético PR
135,Cruzeiro,548,Cruzeiro
136,Vitoria,552,Vitória
147,Coritiba,519,Coritiba
794,RB Bragantino,545,Bragantino
1062,Atletico-MG,513,Atlético Mineiro
1198,Remo,562,Remo
7848,Mirassol,560,Mirassol
