footystats_name,league,canonical_name
AS Eupen,BEL_PL,
Beerschot-Wilrijk,BEL_PL,
FCV Dender EH,BEL_PL,
KAA Gent,BEL_PL,
KRC Genk,BEL_PL,
KV Kortrijk,BEL_PL,
KVC Westerlo,BEL_PL,
RSC Anderlecht,BEL_PL,
RWDM,BEL_PL,
Sporting Charleroi,BEL_PL,
Milton Keynes Dons,ENG_L1,
Milton Keynes Dons,ENG_L2,
Fylde,ENG_NL,
Almería,ESP_PD,
CA Osasuna,ESP_PD,
Cádiz,ESP_PD,
Deportivo Alavés,ESP_PD,
Elche CF,ESP_PD,
Getafe CF,ESP_PD,
Girona FC,ESP_PD,
Granada CF,ESP_PD,
Levante UD,ESP_PD,
RCD Espanyol,ESP_PD,
RCD Mallorca,ESP_PD,
Sevilla FC,ESP_PD,
Valencia CF,ESP_PD,
Albacete Balompié,ESP_SD,
Almería,ESP_SD,
CD Eldense,ESP_SD,
CD Lugo,ESP_SD,
CD Tenerife,ESP_SD,
Ceuta,ESP_SD,
Cultural y Deportiva Leonesa,ESP_SD,
Cádiz,ESP_SD,
Córdoba,ESP_SD,
Deportivo Alavés,ESP_SD,
Elche CF,ESP_SD,
Girona FC,ESP_SD,
Granada CF,ESP_SD,
Levante UD,ESP_SD,
Málaga CF,ESP_SD,
RCD Espanyol,ESP_SD,
Racing Club de Ferrol,ESP_SD,
SD Eibar,ESP_SD,
SD Huesca,ESP_SD,
Ajaccio,FRA_L1,
Clermont,FRA_L1,
Olympique Lyonnais,FRA_L1,
Olympique Marseille,FRA_L1,
PSG,FRA_L1,
Paris,FRA_L1,
Ajaccio,FRA_L2,
Annecy,FRA_L2,
Clermont,FRA_L2,
Nîmes,FRA_L2,
Paris,FRA_L2,
Pau,FRA_L2,
Quevilly Rouen,FRA_L2,
Red Star,FRA_L2,
Bochum,GER_B2,
Hertha BSC,GER_B2,
Köln,GER_B2,
Magdeburg,GER_B2,
Osnabrück,GER_B2,
Preußen Münster,GER_B2,
Ulm,GER_B2,
Bayern München,GER_BL,
Bochum,GER_BL,
Hertha BSC,GER_BL,
Köln,GER_BL,
Aris,GRE_SL,
Kallithea,GRE_SL,
Larissa,GRE_SL,
OFI,GRE_SL,
Olympiakos Piraeus,GRE_SL,
Inter Milan,ITA_SA,
Bari 1908,ITA_SB,
Calcio Padova,ITA_SB,
Vicenza,ITA_SB,
AZ,NED_ED,
Cambuur,NED_ED,
Emmen,NED_ED,
Heracles,NED_ED,
NEC,NED_ED,
AVS,POR_PL,
Alverca,POR_PL,
Boavista FC,POR_PL,
CD Nacional,POR_PL,
CD Tondela,POR_PL,
CS Marítimo,POR_PL,
FC Vizela,POR_PL,
GD Estoril Praia,POR_PL,
Porto,POR_PL,
Rio Ave FC,POR_PL,
Sporting CP,POR_PL,
Dundee,SCO_CH,
Bonnyrigg Rose Athletic,SCO_L2,
Spartans,SCO_L2,
Dundee,SCO_PL,
Altay,TUR_SL,
Ankaragücü,TUR_SL,
Beşiktaş,TUR_SL,
Gazişehir Gaziantep,TUR_SL,
Kasımpaşa,TUR_SL,
