footystats_name,league,canonical_name
AS Eupen,BEL_PL,Eupen
Beerschot-Wilrijk,BEL_PL,Beerschot
FCV Dender EH,BEL_PL,Dender
KAA Gent,BEL_PL,Gent
KRC Genk,BEL_PL,Genk
KV Kortrijk,BEL_PL,Kortrijk
KVC Westerlo,BEL_PL,Westerlo
RSC Anderlecht,BEL_PL,Anderlecht
RWDM,BEL_PL,RWD Molenbeek
Sporting Charleroi,BEL_PL,Charleroi
Milton Keynes Dons,ENG_L1,MK Dons
Milton Keynes Dons,ENG_L2,MK Dons
Fylde,ENG_NL,AFC Fylde
Albacete Balompié,ESP_SD,Albacete
Almería,ESP_SD,UD Almeria
CD Eldense,ESP_SD,Eldense
CD Lugo,ESP_SD,Lugo
CD Tenerife,ESP_SD,Tenerife
Ceuta,ESP_SD,AD Ceuta
Cultural y Deportiva Leonesa,ESP_SD,Cultural Leonesa
Cádiz,ESP_SD,Cadiz
Córdoba,ESP_SD,Cordoba CF
Deportivo Alavés,ESP_SD,CD Alaves
Elche CF,ESP_SD,Elche
Girona FC,ESP_SD,Girona
Granada CF,ESP_SD,Granada
Levante UD,ESP_SD,Levante
Málaga CF,ESP_SD,Malaga
RCD Espanyol,ESP_SD,Espanyol
Racing Club de Ferrol,ESP_SD,Racing Ferrol
SD Eibar,ESP_SD,Eibar
SD Huesca,ESP_SD,Huesca
Ajaccio,FRA_L2,AC Ajaccio
Annecy,FRA_L2,FC Annecy
Clermont,FRA_L2,Clermont Foot
Nîmes,FRA_L2,Nimes
Paris,FRA_L2,Paris FC
Pau,FRA_L2,Pau FC
Quevilly Rouen,FRA_L2,QRM
Red Star,FRA_L2,Red Star FC
Bochum,GER_B2,VfL Bochum
Hertha BSC,GER_B2,Hertha Berlin
Köln,GER_B2,FC Koln
Magdeburg,GER_B2,1. FC Magdeburg
Osnabrück,GER_B2,VfL Osnabruck
Preußen Münster,GER_B2,Preussen Munster
Ulm,GER_B2,SSV Ulm
Bayern München,GER_BL,Bayern de Munique
Bochum,GER_BL,VfL Bochum
Hertha BSC,GER_BL,Hertha Berlin
Köln,GER_BL,FC Koln
Aris,GRE_SL,Aris Thessaloniki
Kallithea,GRE_SL,Athens Kallithea
Larissa,GRE_SL,AEL Larissa
OFI,GRE_SL,OFI Crete
Olympiakos Piraeus,GRE_SL,Olympiakos
Bari 1908,ITA_SB,Bari
Calcio Padova,ITA_SB,Padova
Vicenza,ITA_SB,LR Vicenza
AZ,NED_ED,AZ Alkmaar
Cambuur,NED_ED,SC Cambuur
Emmen,NED_ED,FC Emmen
Heracles,NED_ED,Heracles Almelo
NEC,NED_ED,NEC Nijmegen
Dundee,SCO_CH,Dundee FC
Bonnyrigg Rose Athletic,SCO_L2,Bonnyrigg Rose
Spartans,SCO_L2,Spartans FC
Dundee,SCO_PL,Dundee FC
